Induction time/h,0.0 ,0.5 ,1.0 ,1.5 ,2.0 ,3.0 ,4.0 ,5.0 ,6.0 ,20.0 
Mean intensity (a.u.),0.20 ,7.95 ,10.38 ,11.49 ,12.49 ,13.97 ,15.76 ,17.48 ,17.68 ,18.02 
